latitude,longitude,depth,mag,nst,gap,dmin,rms,horizontalError,depthError,magError,magNst,time_year,time_month,time_day,time_dayofweek,updated_year,updated_month,updated_day,updated_dayofweek,magType_mb,magType_mww,net_us,id_freq,place_freq,type_earthquake,status_reviewed,locationSource_us,magSource_us,place_region_Afghanistan,place_region_China,place_region_Costa Rica,place_region_Indonesia,place_region_Papua New Guinea,place_region_Philippines,place_region_Unknown,label
0.3754538698742934,-1.855095945255109,0.0556089430425504,-0.6671802378595918,-0.4432873685250979,2.4205197289062874,-1.2864875185869895,1.416020344601714,-1.7096787903912647,0.6236585933803938,-1.0770609131973834,0.8201972819769023,0.0,0.3015113445777658,1.3392377806384168,-0.6793662204867574,0.0,0.0,1.087114613009218,0.0503154605426628,False,True,True,0.0,-0.4472135954999577,True,True,True,True,False,False,True,False,False,False,False,0
-0.0233719562822812,0.7489241479658082,0.1973640982609423,0.1755737468051558,-0.3998632997716189,-0.5508072034463157,-1.029942546786872,0.264003793061337,-2.1073763797868943,-0.8381252068103381,-0.6018869809044204,0.0523530179985256,0.0,0.3015113445777658,0.4209033024863595,0.0,0.0,0.0,-0.083624201000709,0.0503154605426628,False,True,True,0.0,-0.4472135954999577,True,True,True,True,False,False,False,True,False,False,False,1
-2.020077414272419,-1.5918225050087331,-0.6932815113042241,-0.1053442480830937,-0.6712637294808625,1.60188883938057,1.0757785817484933,0.3051472413306362,1.6107804480547865,-0.6773289887893575,0.2534260972229135,-0.6805892339808339,0.0,0.3015113445777658,0.4209033024863595,0.0,0.0,0.0,-0.083624201000709,0.0503154605426628,False,True,True,0.0,2.2360679774997902,True,True,True,True,False,False,False,False,False,False,True,0
0.4301065882415602,0.5738500762432196,-0.6932815113042241,-0.9480982327478414,-0.313015162264661,-0.2476105776960502,0.6468353888986969,-0.8057258619404416,1.1625815774660602,-0.6867875898494152,0.1583913107643207,-0.6107852099827996,0.0,0.3015113445777658,-0.1913196829483452,2.0380986614602725,0.0,0.0,-0.083624201000709,0.0503154605426628,False,True,True,0.0,-0.4472135954999577,True,True,True,True,False,False,False,False,False,True,False,0
-2.030078405256862,-1.5938917839701423,-0.7362462555096477,1.720622718690527,3.052350166129961,-0.9449628169216612,0.920312328837622,-1.546307930787827,-0.0178858704225547,-0.2774881257960103,-1.0770609131973834,0.8201972819769023,0.0,0.3015113445777658,-0.4974311756656976,0.6793662204867574,0.0,0.0,0.083624201000709,0.6541009870546161,False,True,True,0.0,2.2360679774997902,True,True,True,True,False,False,False,False,False,False,True,1
0.2995922726316504,0.6067367894832625,1.130190683895115,0.4564917416934055,-0.2370230419460727,-0.399208890571183,-0.8960260715072107,0.9222989653701236,0.0515533912179521,1.1494708250372367,-0.2217478350700501,-0.3315691139906627,0.0,0.3015113445777658,-0.4974311756656976,0.6793662204867574,0.0,0.0,1.2543630150106362,0.6541009870546161,False,True,True,0.0,-0.4472135954999577,True,True,True,True,False,False,False,False,False,True,False,1
-0.0530636950763429,0.8543219907001592,-0.6932815113042241,-0.1053442480830937,-0.0307587153670475,-0.672085853746422,-0.9088533200972164,0.7577251722929266,-0.3713948387742253,-0.7319309130905997,2.2491566128533598,-1.4135314859601935,0.0,0.3015113445777658,-0.4974311756656976,0.6793662204867574,0.0,0.0,-1.087114613009218,0.6541009870546161,False,True,True,0.0,-0.4472135954999577,True,True,True,True,False,False,False,False,True,False,False,0
0.3028187334160506,0.6067274526351567,1.0198575057821824,1.4397047238022789,-0.6929757638576021,-0.2476105776960502,-0.8908951720712083,0.7577251722929266,0.1083673325601849,2.0463181800954326,-0.6969217673630131,0.157059053995577,0.0,0.3015113445777658,-0.4974311756656976,0.6793662204867574,0.0,0.0,1.4216114170120542,1.257886513566569,False,True,True,0.0,-0.4472135954999577,True,True,True,True,False,False,False,False,False,True,False,1
1.1205484471592395,0.2935403895221151,-0.6932815113042241,-1.2290162276360912,0.0669454393282801,-0.6417661911713954,1.5498736896351106,-1.752025172134323,0.0263027506214042,-0.7211825027950796,1.6789478941018032,-1.2739234379641249,0.0,0.3015113445777658,-0.6504869220243739,0.0,0.0,0.0,-1.087114613009218,0.6541009870546161,False,True,True,0.0,-0.4472135954999577,True,True,True,True,False,True,False,False,False,False,False,0
1.3444433850211936,-0.0598499744277409,-0.6932815113042241,-1.7908522174125905,-0.5301355060320558,0.6922989621297732,-0.8175233101363747,0.9222989653701236,0.3734990588239379,-0.6747493703184327,0.443495670140099,2.4605918459307072,0.0,0.3015113445777658,-0.9565984147417262,-1.3587324409735149,0.0,0.0,-1.7561082210148906,-1.7610411189931967,True,False,True,0.0,-0.4472135954999577,True,True,True,True,True,False,False,False,False,False,False,0
-0.1830039565702716,0.8402945435274688,2.492914092354203,0.3160327442492801,-0.5844155919739046,-0.1566515899709704,0.9382704768636304,-0.3942913792474499,0.5250029024032256,1.5278148674395438,-0.6018869809044204,0.0523530179985256,0.0,0.3015113445777658,-0.9565984147417262,-1.3587324409735149,0.0,0.0,-0.7526178090063816,-2.3648266455051496,False,True,True,0.0,-0.4472135954999577,True,True,True,True,False,False,False,False,True,False,False,1
0.4366321311141893,0.5762648185845373,-0.6932815113042241,0.7374097365816552,0.7834425737606834,-0.8540038291965814,0.6986574732023206,-0.8468693102097408,0.34824841822739,-0.7396697685033741,-0.5068521944458276,-0.0523530179985256,0.0,-3.316624790355398,2.5636837515078263,-1.3587324409735149,0.0,0.0,1.087114613009218,0.0503154605426628,False,True,True,0.0,-0.4472135954999577,True,True,True,True,False,False,False,False,False,True,False,1
